,,,,,,,,,Baseline,,Plan,,,,,2024,,,,,2025,,
1-11-12,,                    Reporting,ANEXAS-56,Task,Umar Waqar,100%,Medium,In Progress,,,,,0,0%,7/31,,,,,,,,
1-11-12-1,,                              Monthly Overviews,ANEXAS-84,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,8/20,,,,,,,,
1-11-12-2,,                              Start & End Alerts,ANEXAS-85,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,,,,,,,,,
1-11-12-3,,                              Notifications,ANEXAS-86,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,8/15,,,,,,,,
1-11-12-4,,                              Reports,ANEXAS-87,Subtask,Ali Zaman Kayani,100%,Medium,In Progress,,,,,0,0%,8/18,,,,,,,,
1-11-12-5,,                              Alerts,ANEXAS-88,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,8/13,,,,,,,,
1-12,,          Development - Back End,ANEXAS-31,Epic,Umar Waqar,100%,Medium,In Progress,,,2024/10/25,2024/11/29,26,0%,7/25,,,,,,,,
1-12-1,,                    Integration,ANEXAS-89,Task,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,,,,,,,,,
1-12-2,,                    Database,ANEXAS-93,Task,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,,,,,,,,,
1-12-3,,                    Remote Storage,ANEXAS-94,Task,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,,,,,,,,,
1-13,,          Quality Asssurance,ANEXAS-27,Epic,Umar Waqar,100%,Medium,In Progress,,,2024/12/02,2024/12/06,5,0%,7/30,,,,,,,,
1-13-2,,                    Usability & Efficiency,ANEXAS-95,Task,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,,,,,,,,,
1-13-1,,                    Quality of Life Improvements,ANEXAS-25,Task,umar.waqar,100%,Medium,In Progress,,,2024/12/02,,0,0%,12/1,,,,,,,,
1-14,,          Quality Control,ANEXAS-28,Epic,Umar Waqar,100%,Medium,In Progress,,,2024/12/09,2024/12/16,6,0%,8/10,,,,,,,,
1-14-1,,                    Quality Control,ANEXAS-7,Task,Ali Zaman Kayani,100%,Medium,To Do,,,2024/12/09,,0,0%,12/1,,,,,,,,
1-17,,          Compliances,ANEXAS-12,Epic,Ali Zaman Kayani,100%,Medium,To Do,,,2024/12/17,2024/12/20,4,0%,8/30,,,,,,,,
1-17-1,,                    Governance Compliance,ANEXAS-14,Task,Ali Zaman Kayani,100%,Medium,To Do,,,2024/09/02,2024/09/02,1,0%,12/31,,,,,,,,
1-16,,          Debugging,ANEXAS-13,Epic,Umar Waqar,100%,Medium,In Progress,,,2024/12/23,2024/12/31,7,0%,8/20,,,,,,,,
1-16-1,,                    Debugging,ANEXAS-10,Task,Ali Zaman Kayani,100%,Medium,To Do,,,2024/12/23,,0,0%,12/31,,,,,,,,
1-15,,          Demonstration,ANEXAS-15,Epic,Ali Zaman Kayani,100%,Medium,To Do,,,2025/01/08,2025/01/08,1,0%,9/20,,,,,,,,
1-7,,          Iterations (If any),ANEXAS-26,Epic,Umar Waqar,100%,Medium,In Progress,,,2025/01/15,2025/01/31,13,0%,9/30,,,,,,,,
1-8,,          Implementation,ANEXAS-16,Epic,Umar Waqar,100%,Medium,In Progress,,,2025/02/03,2025/02/14,10,0%,9/10,,,,,,,,
1-6,,          Pilotting,ANEXAS-17,Epic,Ali Zaman Kayani,100%,Medium,To Do,,,2025/02/17,2025/02/21,5,0%,10/10,,,,,,,,
1-9,,          Handover ,ANEXAS-30,Epic,Ali Zaman Kayani,100%,Medium,To Do,,,2025/02/24,2025/02/28,5,0%,11/30,,,,,,,,
1-9-1,,                    Defense,ANEXAS-92,Task,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,12/15,,,,,,,,
1-9-2,,                    Language Support - Multiple Languages,ANEXAS-97,Task,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,12/20,,,,,,,,
